Date,Mkt-RF,SMB,HML,RF
19260701,100.10,99.76,99.72,100.01
19260702,100.55,99.45,99.65,100.02
19260706,100.72,99.73,99.31,100.03
19260707,100.81,99.12,99.38,100.04
19260708,101.02,98.76,99.54,100.05
19260709,100.31,99.19,100.09,100.05
19260710,100.93,98.70,99.95,100.06
19260712,100.04,98.73,100.49,100.07
19260713,100.52,98.49,100.26,100.08
19260714,100.56,98.57,99.78,100.09
19260715,100.13,99.11,99.49,100.10
19260716,100.66,99.12,98.93,100.11
19260717,101.00,99.55,98.31,100.12
19260719,100.99,99.56,97.83,100.13
19260720,99.43,99.33,97.98,100.14
19260721,98.83,99.54,98.27,100.14
19260722,98.11,99.23,98.10,100.15
19260723,98.09,99.31,98.16,100.16
19260724,97.95,99.75,98.10,100.17
19260726,98.47,99.38,97.86,100.18
19260727,98.90,98.94,98.13,100.19
19260728,101.09,98.99,97.87,100.20
19260729,101.45,98.40,96.89,100.21
19260730,101.60,97.94,97.42,100.22
19260731,102.06,97.83,97.26,100.23
19260802,102.92,97.62,97.25,100.24
19260803,103.40,97.36,96.69,100.25
19260804,103.03,97.51,96.92,100.26
19260805,99.91,97.51,97.62,100.27
19260806,100.59,97.58,97.79,100.28
19260807,101.05,97.67,97.57,100.29
19260809,101.26,97.63,97.32,100.30
19260810,99.85,97.95,97.51,100.31
19260811,99.28,98.15,97.83,100.32
19260812,100.11,97.40,98.25,100.33
19260813,100.58,96.59,98.50,100.34
19260814,101.27,96.73,98.17,100.35
19260816,101.34,96.94,98.86,100.36
19260817,100.38,97.25,99.01,100.37
19260818,100.64,97.34,99.04,100.38
19260819,100.04,97.45,99.14,100.39
19260820,99.84,97.10,99.56,100.40
19260821,100.32,97.04,100.06,100.41
19260823,100.81,96.58,100.69,100.42
19260824,99.96,97.06,100.58,100.43
19260825,99.64,96.63,100.85,100.44
19260826,100.17,96.73,101.35,100.45
19260827,100.52,96.85,100.96,100.46
19260828,100.87,97.00,100.90,100.47
19260830,100.30,97.00,101.32,100.48
19260831,100.88,96.49,101.29,100.49
19260901,101.44,97.00,101.22,100.50
19260902,101.38,96.94,101.43,100.50
19260903,101.88,96.66,101.47,100.51
19260907,102.48,96.42,101.24,100.52
19260908,101.96,96.32,101.31,100.53
19260909,99.93,96.47,101.57,100.54
19260910,99.10,96.56,101.43,100.55
19260911,98.66,96.86,101.55,100.56
19260913,98.63,96.75,102.06,100.57
19260914,99.52,96.16,102.17,100.58
19260915,99.31,96.55,101.98,100.59
19260916,99.13,96.23,102.08,100.59
19260917,98.99,96.06,101.79,100.60
19260918,99.68,95.79,101.67,100.61
19260920,99.04,95.81,101.66,100.62
19260921,99.34,95.41,101.86,100.63
19260922,99.21,95.46,101.85,100.64
19260923,99.47,95.31,101.91,100.65
19260924,100.09,95.13,101.89,100.66
19260925,100.21,95.15,101.32,100.67
19260927,100.09,95.29,101.71,100.68
19260928,100.09,95.27,101.36,100.69
19260929,99.79,95.46,101.17,100.69
19260930,100.09,95.25,101.23,100.70
19261001,100.82,95.00,101.02,100.72
19261002,100.72,94.98,100.94,100.73
19261004,98.60,94.87,100.82,100.74
19261005,97.52,95.28,100.08,100.76
19261006,96.97,94.61,99.79,100.77
19261007,96.22,94.90,100.08,100.78
19261008,96.79,94.56,100.67,100.80
19261009,95.86,94.97,100.61,100.81
19261011,95.20,94.88,100.44,100.82
19261013,100.69,94.59,100.41,100.83
19261014,101.67,94.15,101.51,100.85
19261015,98.17,94.26,101.19,100.86
19261016,97.45,93.93,101.61,100.87
19261018,98.14,93.79,102.09,100.89
19261019,97.10,94.15,101.52,100.90
19261020,96.85,93.60,100.33,100.91
19261021,98.33,93.50,100.92,100.93
19261022,97.94,93.90,101.11,100.94
19261023,100.54,94.38,101.31,100.95
19261025,100.44,94.71,101.28,100.97
19261026,100.32,94.73,101.58,100.98
19261027,101.32,94.30,101.79,100.99
19261028,101.24,94.95,101.99,101.00
19261029,101.18,94.97,101.65,101.02
19261030,100.93,95.15,101.90,101.03
19261101,101.39,95.05,101.46,101.04
19261103,101.60,94.83,101.19,101.06
19261104,100.59,94.70,101.89,101.07
19261105,100.66,94.61,102.13,101.08
19261106,100.16,94.34,102.18,101.10
19261108,100.68,94.28,102.27,101.11
19261109,100.81,94.56,101.77,101.12
19261110,100.21,94.70,101.85,101.14
19261111,100.88,94.74,101.95,101.15
19261112,101.12,94.72,101.58,101.16
19261113,100.88,94.83,101.41,101.18
19261115,100.37,95.11,101.16,101.19
19261116,100.52,94.81,101.11,101.20
19261117,99.65,94.48,101.56,101.22
19261118,99.17,94.64,101.76,101.23
19261119,98.54,95.16,101.82,101.24
19261120,98.93,95.17,101.95,101.25
19261122,99.50,95.33,101.76,101.27
19261123,99.82,95.35,101.97,101.28
19261124,99.90,95.14,102.18,101.29
19261126,100.20,95.12,102.22,101.31
19261127,100.05,95.08,101.93,101.32
19261129,99.63,94.95,101.99,101.33
19261130,99.89,94.99,101.48,101.35
19261201,100.25,95.05,101.14,101.36
19261202,100.76,95.04,101.25,101.37
19261203,101.08,95.00,101.32,101.38
19261204,100.91,95.18,101.42,101.39
19261206,100.95,95.48,101.04,101.40
19261207,99.96,95.81,100.52,101.41
19261208,99.88,96.01,100.77,101.42
19261209,100.45,95.88,101.21,101.44
19261210,100.80,95.72,101.73,101.45
19261211,100.89,95.63,101.22,101.46
19261213,101.32,96.24,101.23,101.47
19261214,101.42,96.15,101.37,101.48
19261215,101.59,95.95,101.60,101.49
19261216,100.95,95.76,101.65,101.50
19261217,100.91,95.05,102.34,101.51
19261218,101.33,94.84,102.55,101.53
19261220,99.69,94.92,102.41,101.54
19261221,99.66,94.56,102.21,101.55
19261222,99.68,94.38,101.67,101.56
19261223,99.96,94.39,101.21,101.57
19261224,100.27,94.59,101.47,101.58
19261227,100.05,94.45,101.06,101.59
19261228,98.98,94.38,100.89,101.60
19261229,100.44,94.23,100.83,101.61
19261230,100.09,94.64,100.92,101.63
19261231,100.33,94.92,101.60,101.64
19270103,99.54,95.10,101.68,101.65
19270104,99.85,95.25,101.00,101.66
19270105,99.99,95.66,100.69,101.67
19270106,99.82,95.66,100.76,101.68
19270107,100.12,95.43,101.20,101.69
19270108,100.51,95.25,101.48,101.70
19270110,100.14,95.27,101.64,101.71
19270111,99.86,94.93,102.53,101.72
19270112,100.07,94.87,102.55,101.73
19270113,100.03,95.06,102.24,101.74
19270114,100.08,94.25,103.19,101.75
19270115,100.21,94.34,104.05,101.76
19270117,100.17,94.16,104.86,101.77
19270118,100.11,93.96,104.86,101.78
19270119,100.72,93.97,104.05,101.79
19270120,99.83,93.68,104.19,101.80
19270121,99.82,94.24,105.53,101.81
19270122,99.64,94.48,105.88,101.82
19270124,99.16,94.91,107.40,101.83
19270125,98.10,94.46,106.02,101.84
19270126,98.29,94.57,106.54,101.85
19270127,97.94,94.57,106.09,101.86
19270128,98.10,94.72,106.91,101.87
19270129,98.82,94.34,106.61,101.88
19270131,100.61,94.47,106.57,101.89
19270201,100.60,94.99,107.71,101.90
19270202,100.70,94.79,107.86,101.92
19270203,100.87,94.98,107.80,101.93
19270204,101.24,95.09,109.29,101.94
19270205,101.06,95.38,109.77,101.95
